timestamp,name,cpu_perc,mem_usage_mb,net_in_kb,net_out_kb,block_read_mb,block_write_mb
2025-05-26 18:00:00,mi_app,12.3,230,120,80,1.2,0.6
2025-05-26 18:00:05,mi_app,13.5,235,140,90,1.4,0.7
2025-05-26 18:00:10,mi_app,11.9,240,130,85,1.3,0.5
2025-05-26 18:00:15,mi_app,14.1,238,135,87,1.5,0.8
2025-05-26 18:00:20,mi_app,13.2,242,145,92,1.4,0.7
2025-05-26 18:00:25,mi_app,12.8,245,150,95,1.2,0.6
2025-05-26 18:00:30,mi_app,14.0,247,160,100,1.6,0.7
2025-05-26 18:00:35,mi_app,13.7,250,155,99,1.3,0.7
2025-05-26 18:00:40,mi_app,12.6,248,148,96,1.2,0.8
2025-05-26 18:00:45,mi_app,13.1,251,151,97,1.4,0.6
2025-05-26 18:00:50,mi_app,15.0,253,157,101,1.5,0.9
2025-05-26 18:00:55,mi_app,14.8,256,162,104,1.7,1.0
2025-05-26 18:01:00,mi_app,16.2,259,170,110,1.8,1.2
2025-05-26 18:01:05,mi_app,17.0,261,180,115,2.0,1.3
2025-05-26 18:01:10,mi_app,15.5,263,175,113,1.9,1.0
2025-05-26 18:01:15,mi_app,14.3,265,160,108,1.6,0.8
2025-05-26 18:01:20,mi_app,13.6,268,155,105,1.5,0.9
2025-05-26 18:01:25,mi_app,12.9,266,150,103,1.3,0.7
2025-05-26 18:01:30,mi_app,13.4,264,152,104,1.2,0.8
2025-05-26 18:01:35,mi_app,12.7,262,148,101,1.1,0.7
