timestamp,name,cpu_perc,mem_usage_mb,net_in_kb,net_out_kb,block_read_mb,block_write_mb
2025-05-26 18:00:00,mi_app,22.9,320,110,70,2.0,1.3
2025-05-26 18:00:05,mi_app,24.1,325,125,74,2.2,1.5
2025-05-26 18:00:10,mi_app,23.5,330,120,72,2.1,1.4
2025-05-26 18:00:15,mi_app,25.0,328,130,76,2.3,1.6
2025-05-26 18:00:20,mi_app,23.8,332,135,78,2.1,1.3
2025-05-26 18:00:25,mi_app,24.2,335,140,80,2.2,1.4
2025-05-26 18:00:30,mi_app,25.1,338,145,81,2.4,1.6
2025-05-26 18:00:35,mi_app,24.8,340,142,82,2.3,1.5
2025-05-26 18:00:40,mi_app,23.9,337,138,79,2.2,1.3
2025-05-26 18:00:45,mi_app,24.5,341,143,80,2.3,1.4
2025-05-26 18:00:50,mi_app,26.0,345,150,85,2.5,1.7
2025-05-26 18:00:55,mi_app,27.2,348,158,89,2.7,1.8
2025-05-26 18:01:00,mi_app,28.0,352,165,92,2.8,2.0
2025-05-26 18:01:05,mi_app,28.5,356,172,95,3.0,2.1
2025-05-26 18:01:10,mi_app,27.0,359,169,94,2.9,2.0
2025-05-26 18:01:15,mi_app,25.8,362,160,90,2.6,1.8
2025-05-26 18:01:20,mi_app,24.9,366,155,88,2.4,1.6
2025-05-26 18:01:25,mi_app,24.1,363,150,86,2.2,1.5
2025-05-26 18:01:30,mi_app,23.6,361,148,85,2.1,1.3
2025-05-26 18:01:35,mi_app,22.7,358,145,84,2.0,1.2
